ecg,ppg
0.01709,-0.79346
0.02319,-0.78003
0.0293,-0.78003
0.04028,-0.802
0.03906,-0.80688
0.03052,-0.83008
0.0293,-0.81665
0.04395,-0.83252
0.05737,-0.83252
0.07568,-0.8374
0.08301,-0.8667
0.09033,-0.86182
0.07935,-0.85571
0.08179,-0.88867
0.07813,-0.89478
0.07813,-0.89722
0.09033,-0.87402
0.09766,-0.87891
0.10864,-0.86548
0.11963,-0.86548
0.12817,-0.81909
0.12695,-0.80688
0.10498,-0.75928
0.10864,-0.69702
0.11963,-0.60791
0.13428,-0.54321
0.14404,-0.46387
0.12207,-0.35645
0.09766,-0.2771
0.09033,-0.16968
0.07935,-0.08423
0.07446,0.01343
0.04639,0.1123
0.02686,0.21973
0.0293,0.29053
0.01831,0.3772
0.00122,0.45288
-0.02319,0.51392
-0.03662,0.56152
-0.03052,0.60669
-0.0293,0.65552
-0.03784,0.68726
-0.05005,0.71533
-0.05859,0.71289
-0.06958,0.72754
-0.07568,0.73975
-0.06958,0.72998
-0.05981,0.71167
-0.05249,0.71167
-0.05249,0.67871
-0.04517,0.66284
-0.04761,0.65552
-0.04395,0.62378
-0.04883,0.59814
-0.05249,0.57861
-0.06104,0.53955
-0.05493,0.53589
-0.03296,0.50049
-0.01343,0.49194
-0.00244,0.47485
-0.02563,0.44434
-0.05127,0.43823
-0.0708,0.40771
-0.06958,0.4126
-0.04761,0.3833
-0.03418,0.37842
-0.02808,0.36865
-0.02075,0.354
-0.02686,0.31616
-0.02197,0.3186
-0.02197,0.28809
-0.01343,0.29053
-0.0061,0.2771
-0.01709,0.26367
-0.02319,0.24902
-0.02808,0.22461
-0.02319,0.20386
-0.01465,0.19165
-0.02319,0.17944
-0.0293,0.18921
-0.04395,0.17822
-0.04517,0.15869
-0.04272,0.15991
-0.02075,0.14893
0.00244,0.15747
-0.00244,0.14282
-0.02319,0.15747
-0.05005,0.15381
-0.0708,0.14893
-0.06592,0.14038
-0.06714,0.16235
-0.06348,0.1416
-0.08423,0.14404
-0.09155,0.15747
-0.0647,0.13916
-0.03052,0.1416
-0.01831,0.12695
-0.01343,0.14404
-0.01831,0.13062
-0.00488,0.12817
0,0.10498
-0.00977,0.08545
-0.02686,0.07202
-0.02686,0.06836
-0.01831,0.06104
0.00366,0.05981
0.02441,0.0415
